Birth Rate,CO2 Emissions,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
0.02,11.384319067480007,3.7135578697211664,94.87567567567568,10.203555107263542,24.726774608568434,0.035,4.110873864173311,5.713958861886928,0.03343477608623739,0.0,0.09531017980432487,71.0,67.0,0.0,1,0.342,0.619,0.039,17.272440615362438,0.599,18.440483381052466,19.078200752050506
0.05,9.163563180417254,3.7135578697211664,94.87567567567568,8.922658299524402,22.934787151598087,0.034,3.1354942159291497,5.713958861886928,0.12044615307586716,0.0,0.4180126979162183,47.0,44.0,0.0,1,0.476,0.499,0.025,16.44919138864865,0.324,17.341871111992198,18.799117186521926
0.043,7.388946097618437,3.7135578697211664,94.87567567567568,7.592870287844818,21.58155548172534,0.043,2.772588722239781,5.713958861886928,0.08617769624105233,0.0,0.13811071861565868,57.0,53.0,0.0,1,0.454,0.517,0.029,15.754161134256329,0.383,18.15931599280497,17.72753358339242
0.027,8.361007108226909,3.7135578697211664,94.87567567567568,7.515889085215125,22.479106487735386,0.047,5.030437921392435,5.713958861886928,0.05259245011917058,0.0,0.14410034397375687,52.0,49.0,0.1,1,0.383,0.587,0.029,14.378193636949163,0.532,19.240460579850964,19.157844814713773
0.046,6.948897222313312,3.7135578697211664,94.87567567567568,11.254644782971518,21.68298347736439,0.051,2.5649493574615367,5.713958861886928,0.0916671885258238,0.0,0.13811071861565868,52.0,49.0,0.0,1,0.468,0.505,0.028,16.26720033542329,0.178,16.951004817371683,17.216707972959764
0.042,5.71042701737487,3.7135578697211664,94.87567567567568,11.254644782971518,20.584562311300598,0.063,2.0794415416798357,5.713958861886928,0.0880108773227133,0.0,0.1466943791508035,49.0,47.0,0.0,1,0.49,0.481,0.029,15.7137729400659,0.082,14.151983508870947,16.454567959008102
0.041,8.141189793457691,3.7135578697211664,94.87567567567568,8.75004942158424,22.951920987938426,0.044,3.295836866004329,5.713958861886928,0.0889262091944015,0.0,0.1988508587451652,53.0,51.0,0.0,1,0.453,0.513,0.034,16.583571168763857,0.455,18.6983124881264,19.300307495604308
0.039,5.594711379601839,3.7135578697211664,94.87567567567568,11.254644782971518,20.633888389928533,0.043,2.4849066497880004,5.713958861886928,0.10705907229340778,0.0,0.1988508587451652,45.0,42.0,0.0,1,0.423,0.537,0.04,15.107031770052997,0.376,15.424948670398354,17.312018149733785
0.051,5.176149732573829,3.7135578697211664,94.87567567567568,11.254644782971518,21.049008006749364,0.063,2.3978952727983707,5.713958861886928,0.10074990310014305,0.0,0.1988508587451652,48.0,46.0,0.0,1,0.49,0.482,0.028,15.93190485831639,0.216,16.454567959008102,17.840862266556567
0.039,4.442651256490317,3.7135578697211664,94.87567567567568,11.254644782971518,19.123282513693997,0.035,2.639057329615259,5.713958861886928,0.07045846364856141,0.0,0.11332868530700317,59.0,56.0,0.5781237682301931,1,0.415,0.554,0.031,13.177444190080394,0.281,16.52356082573315,22.27707153912607
0.048,7.4067107301776405,3.7135578697211664,94.87567567567568,9.721965675912738,23.672328128221075,0.048,2.70805020110221,5.713958861886928,0.10885440491208209,0.0,0.13811071861565868,48.0,45.0,0.0,1,0.464,0.507,0.028,17.66457768255208,0.351,22.320493557319537,22.27707153912607
0.039,6.956545443151569,3.7135578697211664,94.87567567567568,6.703188113240863,21.89261945295018,0.021,3.1354942159291497,5.713958861886928,0.07417939817425151,0.0,0.1988508587451652,53.0,51.0,0.0,1,0.419,0.545,0.036,14.955330366828065,0.587,16.333207111220425,17.893048018819147
0.038,8.823500727991183,3.7135578697211664,94.87567567567568,8.815073088844464,23.06671074192162,0.065,3.7612001156935624,5.713958861886928,0.09531017980432487,0.0,0.13811071861565868,47.0,46.0,0.0,1,0.421,0.55,0.029,16.596274087728347,0.435,17.78580249038432,19.488833828572194
0.03,6.0014148779611505,3.7135578697211664,94.87567567567568,11.254644782971518,20.12766426847647,0.058,3.8066624897703196,5.713958861886928,0.07696104113612832,0.0,0.13811071861565868,59.0,55.0,0.0,1,0.414,0.556,0.03,13.491009579044274,0.765,15.90737474309945,16.51013780630191
0.025,11.858831633221174,3.7135578697211664,94.87567567567568,10.612975492684125,25.32682012805931,0.054,4.382026634673881,5.713958861886928,0.035367143837291316,0.0,0.1239859797809912,71.0,66.0,0.0,1,0.354,0.592,0.053,18.00723272200633,0.428,22.261637301161382,20.910574936080593
0.04,6.1224928095143865,3.7135578697211664,94.87567567567568,11.254644782971518,20.768237802014546,0.024,4.060443010546419,5.713958861886928,0.09440067542148431,0.0,0.1988508587451652,49.0,46.0,0.0,1,0.426,0.537,0.037,13.158077951228323,0.388,15.424948670398354,16.759949589762293
0.04,6.413458957167357,3.7135578697211664,94.87567567567568,6.5638555265321274,20.375650888450245,0.045,2.0794415416798357,5.713958861886928,0.05638033343610764,0.0,0.13811071861565868,58.0,54.0,0.5781237682301931,1,0.47,0.512,0.018,15.186526039196,0.176,17.399029524198163,22.27707153912607
0.044,8.671115273688494,3.7135578697211664,94.87567567567568,10.136304168546024,22.81406573902753,0.043,1.791759469228055,5.713958861886928,0.08617769624105233,0.0,0.10345870836822998,53.0,51.0,0.0,1,0.466,0.503,0.031,18.005531899451572,0.147,19.138520541980732,18.197537205138154
0.034,6.959398512133975,3.7135578697211664,94.87567567567568,7.288927694521257,22.34618556077376,0.029,4.77912349311153,5.713958861886928,0.054488185284069734,0.0,0.1988508587451652,61.0,59.0,0.1,1,0.406,0.535,0.059,14.018882329506514,0.801,18.410630418199872,19.024996716270177
0.045,5.62040086571715,3.7135578697211664,94.87567567567568,11.254644782971518,20.478533244072793,0.045,3.4011973816621555,5.713958861886928,0.061095099359810875,0.0,0.2151113796169455,56.0,54.0,0.0,1,0.459,0.514,0.027,14.021600723352588,0.479,22.320493557319537,22.27707153912607
